pincode,state_name,city,State CODE
122100,HARYANA,GURGAON,HR
122101,HARYANA,GURGAON,HR
122102,HARYANA,GURGAON,HR
122103,HARYANA,GURGAON,HR
122104,HARYANA,GURGAON,HR
122105,HARYANA,GURGAON,HR
122106,HARYANA,GURGAON,HR
122107,HARYANA,GURGAON,HR
122108,HARYANA,GURGAON,HR
122110,HARYANA,GURGAON,HR
122112,HARYANA,GURGAON,HR
122113,HARYANA,GURGAON,HR
122181,HARYANA,GURGAON,HR
122200,HARYANA,GURGAON,HR
122201,HARYANA,GURGOAN,HR
122202,HARYANA,GURGAON,HR
122203,HARYANA,GURGAON,HR
122204,HARYANA,GURGAON,HR
122205,HARYANA,GURGAON,HR
122206,HARYANA,GURGAON,HR
122210,HARYANA,GURGAON,HR
122216,HARYANA,GURGAON,HR
122400,HARYANA,GURGAON,HR
122413,HARYANA,GURGAON,HR
122414,HARYANA,GURGAON,HR
122500,HARYANA,GURGAON,HR
122501,HARYANA,GURGAON,HR
122502,HARYANA,GURGAON,HR
122503,HARYANA,GURGAON,HR
122504,HARYANA,GURGAON,HR
122505,HARYANA,GURGAON,HR
122506,HARYANA,GURGAON,HR
122507,HARYANA,GURGAON,HR
122508,HARYANA,GURGAON,HR
122551,HARYANA,GURGAON,HR
122681,HARYANA,GURGAON,HR
122801,HARYANA,GURGAON,HR
122818,HARYANA,GURGAON,HR
123001,HARYANA,GURGAON,HR
123003,HARYANA,GURGAON,HR
123004,HARYANA,GURGAON,HR
123016,HARYANA,GURGAON,HR
123020,HARYANA,GURGAON,HR
123021,HARYANA,GURGAON,HR
123023,HARYANA,GURGAON,HR
123024,HARYANA,GURGAON,HR
123026,HARYANA,GURGAON,HR
123027,HARYANA,GURGAON,HR
123028,HARYANA,GURGAON,HR
123029,HARYANA,GURGAON,HR
123031,HARYANA,GURGAON,HR
123034,HARYANA,GURGAON,HR
123035,HARYANA,GURGAON,HR
123038,HARYANA,GURGAON,HR
123100,HARYANA,GURGAON,HR
123101,HARYANA,GURGAON,HR
123102,HARYANA,GURGAON,HR
123103,HARYANA,GURGAON,HR
123106,HARYANA,GURGAON,HR
123109,HARYANA,GURGAON,HR
123110,HARYANA,GURGAON,HR
123123,HARYANA,GURGAON,HR
123160,HARYANA,GURGAON,HR
123204,HARYANA,GURGAON,HR
123301,HARYANA,GURGAON,HR
123302,HARYANA,GURGAON,HR
